# PC-SAFT-Titan -- Daniel Cordier
# https://www.researchgate.net/profile/Daniel_Cordier
# http://orcid.org/0000-0003-4515-6271
#
# Computation date: 07/07/2021 -- 20h 48min 42s
# Temperature:   115.00 K
# Species 1: N2    
# Species 2: CH4   
#
# xN2 (liq)      P (bar)      
  1.0000000E-04  1.3223434E+00
  4.3307769E-04  1.3320632E+00
  7.6615539E-04  1.3417763E+00
  1.0992331E-03  1.3514825E+00
  1.4323108E-03  1.3611818E+00
  1.7653885E-03  1.3708744E+00
  2.0984662E-03  1.3805601E+00
  2.4315438E-03  1.3902390E+00
  2.7646215E-03  1.3999112E+00
  3.0976992E-03  1.4095765E+00
  3.4307769E-03  1.4192350E+00
  3.7638546E-03  1.4288868E+00
  4.0969323E-03  1.4385318E+00
  4.4300100E-03  1.4481700E+00
  4.7630877E-03  1.4578014E+00
  5.0961654E-03  1.4674261E+00
  5.4292431E-03  1.4770440E+00
  5.7623208E-03  1.4866552E+00
  6.0953985E-03  1.4962597E+00
  6.4284762E-03  1.5058574E+00
  6.7615539E-03  1.5154483E+00
  7.0946315E-03  1.5250326E+00
  7.4277092E-03  1.5346101E+00
  7.7607869E-03  1.5441810E+00
  8.0938646E-03  1.5537451E+00
  8.4269423E-03  1.5633025E+00
  8.7600200E-03  1.5728532E+00
  9.0930977E-03  1.5823973E+00
  9.4261754E-03  1.5919347E+00
  9.7592531E-03  1.6014654E+00
  1.0092331E-02  1.6109894E+00
  1.0425408E-02  1.6205068E+00
  1.0758486E-02  1.6300175E+00
  1.1091564E-02  1.6395216E+00
  1.1424642E-02  1.6490190E+00
  1.1757719E-02  1.6585098E+00
  1.2090797E-02  1.6679940E+00
  1.2423875E-02  1.6774715E+00
  1.2756952E-02  1.6869424E+00
  1.3090030E-02  1.6964068E+00
  1.3423108E-02  1.7058645E+00
  1.3756185E-02  1.7153156E+00
  1.4089263E-02  1.7247601E+00
  1.4422341E-02  1.7341981E+00
  1.4755418E-02  1.7436294E+00
  1.5088496E-02  1.7530542E+00
  1.5421574E-02  1.7624725E+00
  1.5754652E-02  1.7718841E+00
  1.6087729E-02  1.7812893E+00
  1.6420807E-02  1.7906878E+00
  1.6753885E-02  1.8000799E+00
  1.7086962E-02  1.8094654E+00
  1.7420040E-02  1.8188443E+00
  1.7753118E-02  1.8282168E+00
  1.8086195E-02  1.8375827E+00
  1.8419273E-02  1.8469421E+00
  1.8752351E-02  1.8562951E+00
  1.9085428E-02  1.8656415E+00
  1.9418506E-02  1.8749814E+00
  1.9751584E-02  1.8843149E+00
  2.0084662E-02  1.8936419E+00
  2.0417739E-02  1.9029624E+00
  2.0750817E-02  1.9122764E+00
  2.1083895E-02  1.9215840E+00
  2.1416972E-02  1.9308852E+00
  2.1750050E-02  1.9401799E+00
  2.2083128E-02  1.9494681E+00
  2.2416205E-02  1.9587499E+00
  2.2749283E-02  1.9680253E+00
  2.3082361E-02  1.9772943E+00
  2.3415438E-02  1.9865569E+00
  2.3748516E-02  1.9958130E+00
  2.4081594E-02  2.0050628E+00
  2.4414672E-02  2.0143062E+00
  2.4747749E-02  2.0235431E+00
  2.5080827E-02  2.0327737E+00
  2.5413905E-02  2.0419979E+00
  2.5746982E-02  2.0512158E+00
  2.6080060E-02  2.0604273E+00
  2.6413138E-02  2.0696324E+00
  2.6746215E-02  2.0788312E+00
  2.7079293E-02  2.0880236E+00
  2.7412371E-02  2.0972097E+00
  2.7745448E-02  2.1063895E+00
  2.8078526E-02  2.1155629E+00
  2.8411604E-02  2.1247301E+00
  2.8744682E-02  2.1338909E+00
  2.9077759E-02  2.1430454E+00
  2.9410837E-02  2.1521936E+00
  2.9743915E-02  2.1613355E+00
  3.0076992E-02  2.1704711E+00
  3.0410070E-02  2.1796004E+00
  3.0743148E-02  2.1887235E+00
  3.1076225E-02  2.1978403E+00
  3.1409303E-02  2.2069508E+00
  3.1742381E-02  2.2160551E+00
  3.2075458E-02  2.2251532E+00
  3.2408536E-02  2.2342449E+00
  3.2741614E-02  2.2433305E+00
  3.3074692E-02  2.2524098E+00
  3.3407769E-02  2.2614829E+00
  3.3740847E-02  2.2705498E+00
  3.4073925E-02  2.2796104E+00
  3.4407002E-02  2.2886649E+00
  3.4740080E-02  2.2977132E+00
  3.5073158E-02  2.3067552E+00
  3.5406235E-02  2.3157911E+00
  3.5739313E-02  2.3248208E+00
  3.6072391E-02  2.3338443E+00
  3.6405468E-02  2.3428616E+00
  3.6738546E-02  2.3518728E+00
  3.7071624E-02  2.3608779E+00
  3.7404702E-02  2.3698767E+00
  3.7737779E-02  2.3788695E+00
  3.8070857E-02  2.3878561E+00
  3.8403935E-02  2.3968365E+00
  3.8737012E-02  2.4058109E+00
  3.9070090E-02  2.4147791E+00
  3.9403168E-02  2.4237412E+00
  3.9736245E-02  2.4326972E+00
  4.0069323E-02  2.4416471E+00
  4.0402401E-02  2.4505909E+00
  4.0735478E-02  2.4595286E+00
  4.1068556E-02  2.4684602E+00
  4.1401634E-02  2.4773858E+00
  4.1734712E-02  2.4863052E+00
  4.2067789E-02  2.4952187E+00
  4.2400867E-02  2.5041260E+00
  4.2733945E-02  2.5130273E+00
  4.3067022E-02  2.5219226E+00
  4.3400100E-02  2.5308118E+00
  4.3733178E-02  2.5396950E+00
  4.4066255E-02  2.5485721E+00
  4.4399333E-02  2.5574433E+00
  4.4732411E-02  2.5663084E+00
  4.5065488E-02  2.5751675E+00
  4.5398566E-02  2.5840206E+00
  4.5731644E-02  2.5928677E+00
  4.6064722E-02  2.6017088E+00
  4.6397799E-02  2.6105439E+00
  4.6730877E-02  2.6193731E+00
  4.7063955E-02  2.6281963E+00
  4.7397032E-02  2.6370135E+00
  4.7730110E-02  2.6458247E+00
  4.8063188E-02  2.6546300E+00
  4.8396265E-02  2.6634294E+00
  4.8729343E-02  2.6722228E+00
  4.9062421E-02  2.6810102E+00
  4.9395498E-02  2.6897917E+00
  4.9728576E-02  2.6985673E+00
  5.0061654E-02  2.7073370E+00
  5.0394732E-02  2.7161008E+00
  5.0727809E-02  2.7248587E+00
  5.1060887E-02  2.7336106E+00
  5.1393965E-02  2.7423567E+00
  5.1727042E-02  2.7510969E+00
  5.2060120E-02  2.7598312E+00
  5.2393198E-02  2.7685596E+00
  5.2726275E-02  2.7772821E+00
  5.3059353E-02  2.7859988E+00
  5.3392431E-02  2.7947096E+00
  5.3725509E-02  2.8034146E+00
  5.4058586E-02  2.8121137E+00
  5.4391664E-02  2.8208070E+00
  5.4724742E-02  2.8294944E+00
  5.5057819E-02  2.8381760E+00
  5.5390897E-02  2.8468518E+00
  5.5723975E-02  2.8555218E+00
  5.6057052E-02  2.8641860E+00
  5.6390130E-02  2.8728443E+00
  5.6723208E-02  2.8814969E+00
  5.7056285E-02  2.8901436E+00
  5.7389363E-02  2.8987846E+00
  5.7722441E-02  2.9074198E+00
  5.8055519E-02  2.9160492E+00
  5.8388596E-02  2.9246728E+00
  5.8721674E-02  2.9332907E+00
  5.9054752E-02  2.9419028E+00
  5.9387829E-02  2.9505091E+00
  5.9720907E-02  2.9591097E+00
  6.0053985E-02  2.9677046E+00
  6.0387062E-02  2.9762937E+00
  6.0720140E-02  2.9848772E+00
  6.1053218E-02  2.9934548E+00
  6.1386295E-02  3.0020268E+00
  6.1719373E-02  3.0105930E+00
  6.2052451E-02  3.0191536E+00
  6.2385529E-02  3.0277084E+00
  6.2718606E-02  3.0362576E+00
  6.3051684E-02  3.0448010E+00
  6.3384762E-02  3.0533388E+00
  6.3717839E-02  3.0618709E+00
  6.4050917E-02  3.0703973E+00
  6.4383995E-02  3.0789181E+00
  6.4717072E-02  3.0874332E+00
  6.5050150E-02  3.0959426E+00
  6.5383228E-02  3.1044464E+00
  6.5716305E-02  3.1129446E+00
  6.6049383E-02  3.1214371E+00
  6.6382461E-02  3.1299239E+00
  6.6715539E-02  3.1384052E+00
  6.7048616E-02  3.1468808E+00
  6.7381694E-02  3.1553509E+00
  6.7714772E-02  3.1638153E+00
  6.8047849E-02  3.1722741E+00
  6.8380927E-02  3.1807273E+00
  6.8714005E-02  3.1891749E+00
  6.9047082E-02  3.1976170E+00
  6.9380160E-02  3.2060534E+00
  6.9713238E-02  3.2144843E+00
  7.0046315E-02  3.2229096E+00
  7.0379393E-02  3.2313294E+00
  7.0712471E-02  3.2397436E+00
  7.1045549E-02  3.2481522E+00
  7.1378626E-02  3.2565553E+00
  7.1711704E-02  3.2649529E+00
  7.2044782E-02  3.2733449E+00
  7.2377859E-02  3.2817314E+00
  7.2710937E-02  3.2901124E+00
  7.3044015E-02  3.2984878E+00
  7.3377092E-02  3.3068578E+00
  7.3710170E-02  3.3152222E+00
  7.4043248E-02  3.3235811E+00
  7.4376325E-02  3.3319346E+00
  7.4709403E-02  3.3402825E+00
  7.5042481E-02  3.3486250E+00
  7.5375559E-02  3.3569620E+00
  7.5708636E-02  3.3652935E+00
  7.6041714E-02  3.3736196E+00
  7.6374792E-02  3.3819402E+00
  7.6707869E-02  3.3902553E+00
  7.7040947E-02  3.3985650E+00
  7.7374025E-02  3.4068693E+00
  7.7707102E-02  3.4151681E+00
  7.8040180E-02  3.4234614E+00
  7.8373258E-02  3.4317494E+00
  7.8706335E-02  3.4400319E+00
  7.9039413E-02  3.4483090E+00
  7.9372491E-02  3.4565807E+00
  7.9705569E-02  3.4648470E+00
  8.0038646E-02  3.4731079E+00
  8.0371724E-02  3.4813634E+00
  8.0704802E-02  3.4896135E+00
  8.1037879E-02  3.4978583E+00
  8.1370957E-02  3.5060976E+00
  8.1704035E-02  3.5143316E+00
  8.2037112E-02  3.5225602E+00
  8.2370190E-02  3.5307835E+00
  8.2703268E-02  3.5390014E+00
  8.3036345E-02  3.5472139E+00
  8.3369423E-02  3.5554211E+00
  8.3702501E-02  3.5636230E+00
  8.4035579E-02  3.5718195E+00
  8.4368656E-02  3.5800108E+00
  8.4701734E-02  3.5881966E+00
  8.5034812E-02  3.5963772E+00
  8.5367889E-02  3.6045525E+00
  8.5700967E-02  3.6127224E+00
  8.6034045E-02  3.6208871E+00
  8.6367122E-02  3.6290464E+00
  8.6700200E-02  3.6372005E+00
  8.7033278E-02  3.6453493E+00
  8.7366355E-02  3.6534928E+00
  8.7699433E-02  3.6616310E+00
  8.8032511E-02  3.6697640E+00
  8.8365589E-02  3.6778917E+00
  8.8698666E-02  3.6860142E+00
  8.9031744E-02  3.6941314E+00
  8.9364822E-02  3.7022433E+00
  8.9697899E-02  3.7103500E+00
  9.0030977E-02  3.7184515E+00
  9.0364055E-02  3.7265478E+00
  9.0697132E-02  3.7346388E+00
  9.1030210E-02  3.7427246E+00
  9.1363288E-02  3.7508052E+00
  9.1696365E-02  3.7588806E+00
  9.2029443E-02  3.7669508E+00
  9.2362521E-02  3.7750158E+00
  9.2695599E-02  3.7830756E+00
  9.3028676E-02  3.7911302E+00
  9.3361754E-02  3.7991796E+00
  9.3694832E-02  3.8072239E+00
  9.4027909E-02  3.8152630E+00
  9.4360987E-02  3.8232969E+00
  9.4694065E-02  3.8313257E+00
  9.5027142E-02  3.8393493E+00
  9.5360220E-02  3.8473678E+00
  9.5693298E-02  3.8553811E+00
  9.6026375E-02  3.8633893E+00
  9.6359453E-02  3.8713923E+00
  9.6692531E-02  3.8793902E+00
  9.7025609E-02  3.8873830E+00
  9.7358686E-02  3.8953707E+00
  9.7691764E-02  3.9033533E+00
  9.8024842E-02  3.9113308E+00
  9.8357919E-02  3.9193031E+00
  9.8690997E-02  3.9272704E+00
  9.9024075E-02  3.9352326E+00
  9.9357152E-02  3.9431897E+00
  9.9690230E-02  3.9511417E+00
  1.0002331E-01  3.9590887E+00
  1.0035639E-01  3.9670306E+00
  1.0068946E-01  3.9749674E+00
  1.0102254E-01  3.9828991E+00
  1.0135562E-01  3.9908258E+00
  1.0168870E-01  3.9987475E+00
  1.0202177E-01  4.0066641E+00
  1.0235485E-01  4.0145757E+00
  1.0268793E-01  4.0224823E+00
  1.0302101E-01  4.0303838E+00
  1.0335408E-01  4.0382803E+00
  1.0368716E-01  4.0461718E+00
  1.0402024E-01  4.0540582E+00
  1.0435332E-01  4.0619397E+00
  1.0468640E-01  4.0698162E+00
  1.0501947E-01  4.0776877E+00
  1.0535255E-01  4.0855541E+00
  1.0568563E-01  4.0934156E+00
  1.0601871E-01  4.1012722E+00
  1.0635178E-01  4.1091237E+00
  1.0668486E-01  4.1169703E+00
  1.0701794E-01  4.1248119E+00
  1.0735102E-01  4.1326486E+00
  1.0768409E-01  4.1404803E+00
  1.0801717E-01  4.1483070E+00
  1.0835025E-01  4.1561288E+00
  1.0868333E-01  4.1639457E+00
  1.0901641E-01  4.1717577E+00
  1.0934948E-01  4.1795647E+00
  1.0968256E-01  4.1873668E+00
  1.1001564E-01  4.1951639E+00
  1.1034872E-01  4.2029562E+00
  1.1068179E-01  4.2107436E+00
  1.1101487E-01  4.2185260E+00
  1.1134795E-01  4.2263036E+00
  1.1168103E-01  4.2340763E+00
