# PC-SAFT-Titan -- Daniel Cordier
# https://www.researchgate.net/profile/Daniel_Cordier
# http://orcid.org/0000-0003-4515-6271
#
# Computation date: 07/07/2021 -- 20h 09min 43s
# Temperature:   110.00 K
# Species 1: N2    
# Species 2: CH4   
#
# yN2 (vap)      P (bar)      
  2.6965487E-03  8.8292028E-01
  1.1570770E-02  8.9081927E-01
  2.0283281E-02  8.9871217E-01
  2.8838462E-02  9.0659896E-01
  3.7240538E-02  9.1447967E-01
  4.5493583E-02  9.2235430E-01
  5.3601529E-02  9.3022284E-01
  6.1568169E-02  9.3808532E-01
  6.9397168E-02  9.4594172E-01
  7.7092062E-02  9.5379207E-01
  8.4656269E-02  9.6163636E-01
  9.2093092E-02  9.6947460E-01
  9.9405724E-02  9.7730679E-01
  1.0659725E-01  9.8513295E-01
  1.1367066E-01  9.9295308E-01
  1.2062883E-01  1.0007672E+00
  1.2747457E-01  1.0085753E+00
  1.3421058E-01  1.0163773E+00
  1.4083947E-01  1.0241734E+00
  1.4736378E-01  1.0319634E+00
  1.5378598E-01  1.0397475E+00
  1.6010843E-01  1.0475256E+00
  1.6633346E-01  1.0552976E+00
  1.7246329E-01  1.0630637E+00
  1.7850009E-01  1.0708239E+00
  1.8444597E-01  1.0785780E+00
  1.9030297E-01  1.0863262E+00
  1.9607306E-01  1.0940685E+00
  2.0175818E-01  1.1018048E+00
  2.0736017E-01  1.1095352E+00
  2.1288087E-01  1.1172596E+00
  2.1832202E-01  1.1249781E+00
  2.2368533E-01  1.1326906E+00
  2.2897246E-01  1.1403973E+00
  2.3418503E-01  1.1480980E+00
  2.3932461E-01  1.1557928E+00
  2.4439271E-01  1.1634818E+00
  2.4939083E-01  1.1711648E+00
  2.5432040E-01  1.1788419E+00
  2.5918282E-01  1.1865132E+00
  2.6397946E-01  1.1941786E+00
  2.6871165E-01  1.2018381E+00
  2.7338068E-01  1.2094917E+00
  2.7798781E-01  1.2171395E+00
  2.8253425E-01  1.2247815E+00
  2.8702121E-01  1.2324176E+00
  2.9144985E-01  1.2400478E+00
  2.9582129E-01  1.2476722E+00
  3.0013664E-01  1.2552908E+00
  3.0439698E-01  1.2629036E+00
  3.0860334E-01  1.2705106E+00
  3.1275676E-01  1.2781117E+00
  3.1685822E-01  1.2857070E+00
  3.2090871E-01  1.2932966E+00
  3.2490915E-01  1.3008803E+00
  3.2886048E-01  1.3084583E+00
  3.3276359E-01  1.3160305E+00
  3.3661938E-01  1.3235969E+00
  3.4042868E-01  1.3311576E+00
  3.4419234E-01  1.3387124E+00
  3.4791118E-01  1.3462616E+00
  3.5158599E-01  1.3538049E+00
  3.5521756E-01  1.3613426E+00
  3.5880664E-01  1.3688745E+00
  3.6235397E-01  1.3764006E+00
  3.6586028E-01  1.3839211E+00
  3.6932629E-01  1.3914358E+00
  3.7275268E-01  1.3989448E+00
  3.7614012E-01  1.4064481E+00
  3.7948929E-01  1.4139457E+00
  3.8280082E-01  1.4214376E+00
  3.8607535E-01  1.4289238E+00
  3.8931351E-01  1.4364044E+00
  3.9251588E-01  1.4438792E+00
  3.9568306E-01  1.4513484E+00
  3.9881564E-01  1.4588119E+00
  4.0191417E-01  1.4662698E+00
  4.0497921E-01  1.4737220E+00
  4.0801131E-01  1.4811686E+00
  4.1101098E-01  1.4886095E+00
  4.1397875E-01  1.4960448E+00
  4.1691513E-01  1.5034744E+00
  4.1982061E-01  1.5108985E+00
  4.2269569E-01  1.5183169E+00
  4.2554083E-01  1.5257297E+00
  4.2835650E-01  1.5331369E+00
  4.3114316E-01  1.5405385E+00
  4.3390125E-01  1.5479345E+00
  4.3663122E-01  1.5553249E+00
  4.3933349E-01  1.5627097E+00
  4.4200849E-01  1.5700890E+00
  4.4465663E-01  1.5774627E+00
  4.4727830E-01  1.5848308E+00
  4.4987391E-01  1.5921934E+00
  4.5244384E-01  1.5995504E+00
  4.5498848E-01  1.6069018E+00
  4.5750819E-01  1.6142478E+00
  4.6000334E-01  1.6215882E+00
  4.6247430E-01  1.6289230E+00
  4.6492141E-01  1.6362524E+00
  4.6734501E-01  1.6435762E+00
  4.6974545E-01  1.6508945E+00
  4.7212305E-01  1.6582073E+00
  4.7447815E-01  1.6655146E+00
  4.7681106E-01  1.6728164E+00
  4.7912209E-01  1.6801128E+00
  4.8141155E-01  1.6874036E+00
  4.8367975E-01  1.6946890E+00
  4.8592697E-01  1.7019689E+00
  4.8815351E-01  1.7092433E+00
  4.9035966E-01  1.7165123E+00
  4.9254569E-01  1.7237758E+00
  4.9471188E-01  1.7310339E+00
  4.9685850E-01  1.7382866E+00
  4.9898582E-01  1.7455338E+00
  5.0109409E-01  1.7527755E+00
  5.0318357E-01  1.7600119E+00
  5.0525451E-01  1.7672428E+00
  5.0730716E-01  1.7744684E+00
  5.0934175E-01  1.7816885E+00
  5.1135854E-01  1.7889032E+00
  5.1335775E-01  1.7961125E+00
  5.1533961E-01  1.8033164E+00
  5.1730434E-01  1.8105150E+00
  5.1925218E-01  1.8177082E+00
  5.2118333E-01  1.8248960E+00
  5.2309801E-01  1.8320784E+00
  5.2499644E-01  1.8392555E+00
  5.2687881E-01  1.8464272E+00
  5.2874534E-01  1.8535936E+00
  5.3059622E-01  1.8607546E+00
  5.3243165E-01  1.8679103E+00
  5.3425183E-01  1.8750607E+00
  5.3605693E-01  1.8822057E+00
  5.3784716E-01  1.8893454E+00
  5.3962269E-01  1.8964798E+00
  5.4138371E-01  1.9036089E+00
  5.4313039E-01  1.9107327E+00
  5.4486292E-01  1.9178512E+00
  5.4658145E-01  1.9249644E+00
  5.4828616E-01  1.9320724E+00
  5.4997722E-01  1.9391750E+00
  5.5165480E-01  1.9462724E+00
  5.5331904E-01  1.9533645E+00
  5.5497012E-01  1.9604513E+00
  5.5660819E-01  1.9675329E+00
  5.5823340E-01  1.9746092E+00
  5.5984590E-01  1.9816803E+00
  5.6144585E-01  1.9887461E+00
  5.6303339E-01  1.9958067E+00
  5.6460866E-01  2.0028621E+00
  5.6617182E-01  2.0099123E+00
  5.6772298E-01  2.0169572E+00
  5.6926231E-01  2.0239969E+00
  5.7078992E-01  2.0310314E+00
  5.7230596E-01  2.0380607E+00
  5.7381056E-01  2.0450849E+00
  5.7530385E-01  2.0521038E+00
  5.7678595E-01  2.0591175E+00
  5.7825699E-01  2.0661261E+00
  5.7971709E-01  2.0731295E+00
  5.8116638E-01  2.0801277E+00
  5.8260498E-01  2.0871208E+00
  5.8403300E-01  2.0941087E+00
  5.8545057E-01  2.1010915E+00
  5.8685779E-01  2.1080691E+00
  5.8825479E-01  2.1150415E+00
  5.8964167E-01  2.1220089E+00
  5.9101854E-01  2.1289711E+00
  5.9238552E-01  2.1359282E+00
  5.9374270E-01  2.1428802E+00
  5.9509020E-01  2.1498270E+00
  5.9642811E-01  2.1567688E+00
  5.9775655E-01  2.1637054E+00
  5.9907561E-01  2.1706370E+00
  6.0038539E-01  2.1775634E+00
  6.0168599E-01  2.1844848E+00
  6.0297750E-01  2.1914011E+00
  6.0426003E-01  2.1983123E+00
  6.0553367E-01  2.2052185E+00
  6.0679850E-01  2.2121196E+00
  6.0805462E-01  2.2190157E+00
  6.0930213E-01  2.2259066E+00
  6.1054110E-01  2.2327926E+00
  6.1177164E-01  2.2396735E+00
  6.1299381E-01  2.2465494E+00
  6.1420772E-01  2.2534202E+00
  6.1541344E-01  2.2602860E+00
  6.1661106E-01  2.2671468E+00
  6.1780065E-01  2.2740026E+00
  6.1898231E-01  2.2808534E+00
  6.2015611E-01  2.2876991E+00
  6.2132212E-01  2.2945399E+00
  6.2248043E-01  2.3013757E+00
  6.2363112E-01  2.3082065E+00
  6.2477425E-01  2.3150323E+00
  6.2590991E-01  2.3218531E+00
  6.2703816E-01  2.3286690E+00
  6.2815908E-01  2.3354799E+00
  6.2927275E-01  2.3422859E+00
  6.3037923E-01  2.3490869E+00
  6.3147859E-01  2.3558829E+00
  6.3257090E-01  2.3626740E+00
  6.3365623E-01  2.3694602E+00
  6.3473465E-01  2.3762414E+00
  6.3580622E-01  2.3830177E+00
  6.3687101E-01  2.3897891E+00
  6.3792908E-01  2.3965555E+00
  6.3898050E-01  2.4033171E+00
  6.4002533E-01  2.4100737E+00
  6.4106363E-01  2.4168255E+00
  6.4209547E-01  2.4235723E+00
  6.4312090E-01  2.4303143E+00
  6.4413999E-01  2.4370514E+00
  6.4515279E-01  2.4437836E+00
  6.4615936E-01  2.4505109E+00
  6.4715977E-01  2.4572334E+00
  6.4815406E-01  2.4639509E+00
  6.4914229E-01  2.4706637E+00
  6.5012453E-01  2.4773716E+00
  6.5110082E-01  2.4840746E+00
  6.5207122E-01  2.4907728E+00
  6.5303578E-01  2.4974661E+00
  6.5399456E-01  2.5041547E+00
  6.5494760E-01  2.5108384E+00
  6.5589497E-01  2.5175172E+00
  6.5683670E-01  2.5241913E+00
  6.5777286E-01  2.5308605E+00
  6.5870349E-01  2.5375250E+00
  6.5962864E-01  2.5441846E+00
  6.6054836E-01  2.5508395E+00
  6.6146269E-01  2.5574895E+00
  6.6237169E-01  2.5641348E+00
  6.6327541E-01  2.5707753E+00
  6.6417388E-01  2.5774110E+00
  6.6506716E-01  2.5840420E+00
  6.6595528E-01  2.5906682E+00
  6.6683830E-01  2.5972896E+00
  6.6771626E-01  2.6039063E+00
  6.6858921E-01  2.6105182E+00
  6.6945718E-01  2.6171254E+00
  6.7032022E-01  2.6237278E+00
  6.7117837E-01  2.6303255E+00
  6.7203167E-01  2.6369185E+00
  6.7288017E-01  2.6435068E+00
  6.7372391E-01  2.6500903E+00
  6.7456292E-01  2.6566692E+00
  6.7539725E-01  2.6632433E+00
  6.7622693E-01  2.6698127E+00
  6.7705201E-01  2.6763775E+00
  6.7787253E-01  2.6829375E+00
  6.7868851E-01  2.6894929E+00
  6.7950001E-01  2.6960435E+00
  6.8030705E-01  2.7025895E+00
  6.8110967E-01  2.7091309E+00
  6.8190792E-01  2.7156675E+00
  6.8270182E-01  2.7221995E+00
  6.8349142E-01  2.7287269E+00
  6.8427674E-01  2.7352495E+00
  6.8505783E-01  2.7417676E+00
  6.8583472E-01  2.7482810E+00
  6.8660743E-01  2.7547898E+00
  6.8737602E-01  2.7612939E+00
  6.8814050E-01  2.7677934E+00
  6.8890091E-01  2.7742883E+00
  6.8965729E-01  2.7807786E+00
  6.9040967E-01  2.7872643E+00
  6.9115808E-01  2.7937453E+00
  6.9190255E-01  2.8002218E+00
  6.9264311E-01  2.8066937E+00
  6.9337980E-01  2.8131609E+00
  6.9411264E-01  2.8196236E+00
  6.9484167E-01  2.8260818E+00
  6.9556691E-01  2.8325353E+00
  6.9628839E-01  2.8389843E+00
  6.9700616E-01  2.8454287E+00
  6.9772022E-01  2.8518685E+00
  6.9843062E-01  2.8583038E+00
  6.9913738E-01  2.8647346E+00
  6.9984053E-01  2.8711608E+00
  7.0054010E-01  2.8775824E+00
  7.0123611E-01  2.8839995E+00
  7.0192859E-01  2.8904121E+00
  7.0261758E-01  2.8968202E+00
  7.0330309E-01  2.9032238E+00
  7.0398515E-01  2.9096228E+00
  7.0466380E-01  2.9160173E+00
  7.0533905E-01  2.9224073E+00
  7.0601093E-01  2.9287929E+00
  7.0667947E-01  2.9351739E+00
  7.0734469E-01  2.9415504E+00
  7.0800661E-01  2.9479225E+00
  7.0866527E-01  2.9542901E+00
  7.0932069E-01  2.9606531E+00
  7.0997288E-01  2.9670118E+00
  7.1062189E-01  2.9733659E+00
  7.1126772E-01  2.9797156E+00
  7.1191040E-01  2.9860609E+00
  7.1254995E-01  2.9924017E+00
  7.1318641E-01  2.9987380E+00
  7.1381979E-01  3.0050699E+00
  7.1445011E-01  3.0113974E+00
  7.1507740E-01  3.0177204E+00
  7.1570167E-01  3.0240390E+00
  7.1632296E-01  3.0303532E+00
  7.1694128E-01  3.0366630E+00
  7.1755665E-01  3.0429684E+00
  7.1816910E-01  3.0492693E+00
  7.1877865E-01  3.0555659E+00
  7.1938531E-01  3.0618581E+00
  7.1998911E-01  3.0681458E+00
  7.2059007E-01  3.0744292E+00
  7.2118821E-01  3.0807082E+00
  7.2178355E-01  3.0869828E+00
  7.2237611E-01  3.0932531E+00
  7.2296591E-01  3.0995189E+00
  7.2355296E-01  3.1057805E+00
  7.2413729E-01  3.1120376E+00
  7.2471893E-01  3.1182904E+00
  7.2529787E-01  3.1245389E+00
  7.2587415E-01  3.1307830E+00
  7.2644779E-01  3.1370228E+00
  7.2701880E-01  3.1432582E+00
  7.2758720E-01  3.1494893E+00
  7.2815301E-01  3.1557161E+00
  7.2871624E-01  3.1619386E+00
  7.2927692E-01  3.1681567E+00
  7.2983506E-01  3.1743706E+00
  7.3039068E-01  3.1805801E+00
  7.3094380E-01  3.1867853E+00
  7.3149444E-01  3.1929863E+00
  7.3204260E-01  3.1991829E+00
  7.3258832E-01  3.2053753E+00
  7.3313160E-01  3.2115634E+00
  7.3367246E-01  3.2177472E+00
  7.3421092E-01  3.2239267E+00
  7.3474699E-01  3.2301019E+00
  7.3528069E-01  3.2362729E+00
  7.3581204E-01  3.2424397E+00
  7.3634106E-01  3.2486022E+00
  7.3686775E-01  3.2547604E+00
  7.3739213E-01  3.2609144E+00
  7.3791423E-01  3.2670642E+00
  7.3843404E-01  3.2732097E+00
  7.3895160E-01  3.2793510E+00
  7.3946691E-01  3.2854881E+00
  7.3998000E-01  3.2916209E+00
  7.4049086E-01  3.2977495E+00
  7.4099953E-01  3.3038740E+00
  7.4150600E-01  3.3099942E+00
  7.4201031E-01  3.3161102E+00
  7.4251246E-01  3.3222220E+00
  7.4301246E-01  3.3283296E+00
  7.4351034E-01  3.3344331E+00
  7.4400609E-01  3.3405323E+00
  7.4449975E-01  3.3466274E+00
  7.4499132E-01  3.3527183E+00
  7.4548081E-01  3.3588050E+00
  7.4596824E-01  3.3648876E+00
  7.4645362E-01  3.3709660E+00
  7.4693697E-01  3.3770403E+00
