# PC-SAFT-Titan -- Daniel Cordier
# https://www.researchgate.net/profile/Daniel_Cordier
# http://orcid.org/0000-0003-4515-6271
#
# Computation date: 07/07/2021 -- 20h 49min 18s
# Temperature:   120.00 K
# Species 1: N2    
# Species 2: CH4   
#
# xN2 (liq)      P (bar)      
  1.0000000E-04  1.9126822E+00
  4.3307769E-04  1.9243957E+00
  7.6615539E-04  1.9361017E+00
  1.0992331E-03  1.9478002E+00
  1.4323108E-03  1.9594912E+00
  1.7653885E-03  1.9711748E+00
  2.0984662E-03  1.9828508E+00
  2.4315438E-03  1.9945194E+00
  2.7646215E-03  2.0061805E+00
  3.0976992E-03  2.0178342E+00
  3.4307769E-03  2.0294804E+00
  3.7638546E-03  2.0411192E+00
  4.0969323E-03  2.0527505E+00
  4.4300100E-03  2.0643744E+00
  4.7630877E-03  2.0759909E+00
  5.0961654E-03  2.0875999E+00
  5.4292431E-03  2.0992015E+00
  5.7623208E-03  2.1107958E+00
  6.0953985E-03  2.1223826E+00
  6.4284762E-03  2.1339620E+00
  6.7615539E-03  2.1455340E+00
  7.0946315E-03  2.1570987E+00
  7.4277092E-03  2.1686559E+00
  7.7607869E-03  2.1802058E+00
  8.0938646E-03  2.1917483E+00
  8.4269423E-03  2.2032835E+00
  8.7600200E-03  2.2148113E+00
  9.0930977E-03  2.2263318E+00
  9.4261754E-03  2.2378449E+00
  9.7592531E-03  2.2493507E+00
  1.0092331E-02  2.2608492E+00
  1.0425408E-02  2.2723404E+00
  1.0758486E-02  2.2838242E+00
  1.1091564E-02  2.2953007E+00
  1.1424642E-02  2.3067700E+00
  1.1757719E-02  2.3182319E+00
  1.2090797E-02  2.3296866E+00
  1.2423875E-02  2.3411339E+00
  1.2756952E-02  2.3525740E+00
  1.3090030E-02  2.3640068E+00
  1.3423108E-02  2.3754324E+00
  1.3756185E-02  2.3868507E+00
  1.4089263E-02  2.3982618E+00
  1.4422341E-02  2.4096656E+00
  1.4755418E-02  2.4210622E+00
  1.5088496E-02  2.4324515E+00
  1.5421574E-02  2.4438336E+00
  1.5754652E-02  2.4552086E+00
  1.6087729E-02  2.4665763E+00
  1.6420807E-02  2.4779368E+00
  1.6753885E-02  2.4892901E+00
  1.7086962E-02  2.5006362E+00
  1.7420040E-02  2.5119751E+00
  1.7753118E-02  2.5233069E+00
  1.8086195E-02  2.5346315E+00
  1.8419273E-02  2.5459489E+00
  1.8752351E-02  2.5572591E+00
  1.9085428E-02  2.5685622E+00
  1.9418506E-02  2.5798582E+00
  1.9751584E-02  2.5911470E+00
  2.0084662E-02  2.6024287E+00
  2.0417739E-02  2.6137033E+00
  2.0750817E-02  2.6249708E+00
  2.1083895E-02  2.6362311E+00
  2.1416972E-02  2.6474844E+00
  2.1750050E-02  2.6587305E+00
  2.2083128E-02  2.6699695E+00
  2.2416205E-02  2.6812015E+00
