# PC-SAFT-Titan -- Daniel Cordier
# https://www.researchgate.net/profile/Daniel_Cordier
# http://orcid.org/0000-0003-4515-6271
#
# Computation date: 07/07/2021 -- 20h 49min 18s
# Temperature:   120.00 K
# Species 1: N2    
# Species 2: CH4   
#
# yN2 (vap)      P (bar)      
  1.8284408E-03  1.9126822E+00
  7.8683672E-03  1.9243957E+00
  1.3832193E-02  1.9361017E+00
  1.9721348E-02  1.9478002E+00
  2.5537226E-02  1.9594912E+00
  3.1281187E-02  1.9711748E+00
  3.6954558E-02  1.9828508E+00
  4.2558632E-02  1.9945194E+00
  4.8094672E-02  2.0061805E+00
  5.3563910E-02  2.0178342E+00
  5.8967549E-02  2.0294804E+00
  6.4306762E-02  2.0411192E+00
  6.9582696E-02  2.0527505E+00
  7.4796471E-02  2.0643744E+00
  7.9949178E-02  2.0759909E+00
  8.5041886E-02  2.0875999E+00
  9.0075637E-02  2.0992015E+00
  9.5051450E-02  2.1107958E+00
  9.9970321E-02  2.1223826E+00
  1.0483322E-01  2.1339620E+00
  1.0964110E-01  2.1455340E+00
  1.1439490E-01  2.1570987E+00
  1.1909551E-01  2.1686559E+00
  1.2374383E-01  2.1802058E+00
  1.2834073E-01  2.1917483E+00
  1.3288705E-01  2.2032835E+00
  1.3738363E-01  2.2148113E+00
  1.4183128E-01  2.2263318E+00
  1.4623079E-01  2.2378449E+00
  1.5058295E-01  2.2493507E+00
  1.5488852E-01  2.2608492E+00
  1.5914823E-01  2.2723404E+00
  1.6336283E-01  2.2838242E+00
  1.6753302E-01  2.2953007E+00
  1.7165950E-01  2.3067700E+00
  1.7574296E-01  2.3182319E+00
  1.7978407E-01  2.3296866E+00
  1.8378348E-01  2.3411339E+00
  1.8774185E-01  2.3525740E+00
  1.9165979E-01  2.3640068E+00
  1.9553792E-01  2.3754324E+00
  1.9937686E-01  2.3868507E+00
  2.0317719E-01  2.3982618E+00
  2.0693949E-01  2.4096656E+00
  2.1066433E-01  2.4210622E+00
  2.1435227E-01  2.4324515E+00
  2.1800386E-01  2.4438336E+00
  2.2161963E-01  2.4552086E+00
  2.2520011E-01  2.4665763E+00
  2.2874581E-01  2.4779368E+00
  2.3225724E-01  2.4892901E+00
  2.3573489E-01  2.5006362E+00
  2.3917925E-01  2.5119751E+00
  2.4259080E-01  2.5233069E+00
  2.4597000E-01  2.5346315E+00
  2.4931732E-01  2.5459489E+00
  2.5263320E-01  2.5572591E+00
  2.5591808E-01  2.5685622E+00
  2.5917241E-01  2.5798582E+00
  2.6239659E-01  2.5911470E+00
  2.6559106E-01  2.6024287E+00
  2.6875623E-01  2.6137033E+00
  2.7189248E-01  2.6249708E+00
  2.7500023E-01  2.6362311E+00
  2.7807986E-01  2.6474844E+00
  2.8113174E-01  2.6587305E+00
  2.8415626E-01  2.6699695E+00
  2.8715377E-01  2.6812015E+00
  2.9012465E-01  2.6924264E+00
  2.9306925E-01  2.7036442E+00
  2.9598791E-01  2.7148549E+00
  2.9888097E-01  2.7260586E+00
  3.0174878E-01  2.7372553E+00
  3.0459166E-01  2.7484449E+00
  3.0740994E-01  2.7596274E+00
  3.1020393E-01  2.7708029E+00
  3.1297396E-01  2.7819714E+00
  3.1572032E-01  2.7931329E+00
  3.1844332E-01  2.8042873E+00
  3.2114327E-01  2.8154348E+00
  3.2382044E-01  2.8265752E+00
  3.2647513E-01  2.8377087E+00
  3.2910763E-01  2.8488352E+00
  3.3171820E-01  2.8599546E+00
  3.3430713E-01  2.8710672E+00
  3.3687468E-01  2.8821727E+00
  3.3942112E-01  2.8932713E+00
  3.4194670E-01  2.9043629E+00
  3.4445169E-01  2.9154476E+00
  3.4693634E-01  2.9265253E+00
  3.4940088E-01  2.9375961E+00
  3.5184558E-01  2.9486600E+00
  3.5427066E-01  2.9597170E+00
  3.5667636E-01  2.9707670E+00
  3.5906292E-01  2.9818101E+00
  3.6143057E-01  2.9928463E+00
  3.6377952E-01  3.0038757E+00
  3.6611000E-01  3.0148981E+00
  3.6842223E-01  3.0259137E+00
  3.7071642E-01  3.0369223E+00
  3.7299278E-01  3.0479241E+00
  3.7525153E-01  3.0589191E+00
  3.7749286E-01  3.0699072E+00
  3.7971697E-01  3.0808884E+00
  3.8192408E-01  3.0918628E+00
  3.8411436E-01  3.1028303E+00
  3.8628802E-01  3.1137911E+00
  3.8844523E-01  3.1247450E+00
  3.9058620E-01  3.1356920E+00
  3.9271110E-01  3.1466323E+00
  3.9482012E-01  3.1575657E+00
  3.9691343E-01  3.1684924E+00
  3.9899120E-01  3.1794123E+00
  4.0105362E-01  3.1903253E+00
  4.0310085E-01  3.2012316E+00
  4.0513305E-01  3.2121312E+00
  4.0715041E-01  3.2230239E+00
  4.0915307E-01  3.2339099E+00
  4.1114119E-01  3.2447892E+00
  4.1311495E-01  3.2556617E+00
