# ----------------------------------------------------------------------------------------------------------------------------------
# D. Cordier -- Institut UTINAM, Besançon, 1er novembre 2013 
# Database of parameters used in PC-SAFT theory.
# ----------------------------------------------------------------------------------------------------------------------------------
# 
# Comp         |   Molar mass   | Num. seg. | Seg. diam.  | Seg. engergy | Asso? | Ass. energy  | Vol. asso    | Ref.
#              |   (kg.mol^-1)  |    "m"    | "sig" (Ang) | e/kB (K)     |   0/1 | e_ass/kB (K) | kappa (AA^3) |
N2                  28.01340E-03      1.2414        3.2992        89.2230       0         0.0000         0.0000 NIST Used by Tan et al. (2013)
CH4                 16.04250E-03      1.0000        3.7039       150.0300       0         0.0000         0.0000 NIST Used by Tan et al. (2013), repris sur G&S (2001) qui eux mêmes ...
H2                   2.01588E-03      1.0000        2.9860        19.2775       0         0.0000         0.0000 -    Used by Tan et al. (2013)
CO                  28.01010E-03      1.3680        3.2035        89.4037       0         0.0000         0.0000 NIST Used by Tan et al. (2013)
#CO                  28.01010E-03      1.3097        3.2507        92.150       0         0.0000         0.0000 Gross & Sadowski (2001) qui reprennent ... cf. leur papier.
Ar                  39.94800E-03      1.0000        3.3768       117.8538       0         0.0000         0.0000 NIST Used by Tan et al. (2013)
#Ar                  39.94800E-03      0.9200        3.4784       122.2300       0         0.0000         0.0000 Gross & Sadowski (2001) qui reprennent ... cf. leur papier.
C2H6                30.06900E-03      1.6114        3.5245       190.9926       0         0.0000         0.0000 NIST Used by Tan et al. (2013)
#C2H6                30.06900E-03      1.6069        3.5206       191.4200       0         0.0000         0.0000 Gross & Sadowski (2001) qui reprennent ... cf. leur papier. 
C2H2                26.03730E-03      2.1569        2.9064       168.5506       0         0.0000         0.0000 Din (1962) Used by Tan et al. (2013)
C3H8                44.09560E-03      2.0022        3.6209       207.7721       0         0.0000         0.0000 NIST Used by Tan et al. (2013)
#
C2H4                28.05320E-03      1.6018        3.4029       176.5698       0         0.0000         0.0000 NIST Used by Tan et al. (2013)
#
#HCN                 27.02530E-03      1.3320        3.1890       259.1600       0         0.0000         0.0000 Formules p. 118 thèse Belkadi (2008)
